Akashiwo,Alexandrium_singlet,Amy_Gony_Protoc,Asterionellopsis,Boreadinium,Centric,Ceratium,Chaetoceros,Ciliates,Clusterflagellate,Cochlodinium,Corethron,Cryptophyte,Cyl_Nitz,Det_Cer_Lau,Dictyocha,Dinophysis,Ditylum,Entomoneis,Eucampia,FlagMix,Guin_Dact,Gymnodinium,Gyrodinium,Hemiaulus,Leptocylindrus,Licmophora,Lingulodinium,Mesodinium,NanoP_less10,Odontella,Pennate,Peridinium,Phaeocystis,Pleurosigma,Polykrikos,Prorocentrum,Protoperidinium,Pseudo_nitzschia,Pyramimonas,Rhiz_Prob,Scrip_Het,Skeletonema,Thalassionema,Thalassiosira,Tiarina,Tintinnid,Tontonia,Torodinium,Tropidoneis,Vicicitus,unclassified,datetime
0,0,0,0.0104054917252869,0,0,0,0.000945953793207903,0.00378381517283161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00283786137962371,0,0,0,0.367030071764666,0,0,0,0,0,0,0,0,0.0113514455184948,0,0,0,0,0,0.00283786137962371,0,0,0,0,0,0,0.200542204160075,2016-06-03 15:15:57
0,0,0,0.0016685429664066,0,0,0,0,0.0016685429664066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24527581606177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066741718656264,2016-06-18 00:10:09
0,0,0,0,0,0.000854250927916723,0,0,0,0.0341700371166689,0,0,0,0.000854250927916723,0,0,0,0,0,0,0.000854250927916723,0,0,0,0,0.00170850185583345,0,0,0,1.07208491453549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305821832194187,0,0,0,0,0,0,0.955906788338813,2016-06-21 18:56:48
0.000163288724169272,0.00130630979335417,0.000163288724169272,0,0,0.0280856605571147,0.000326577448338543,0.00212275341420053,0.00179617596586199,0.00849101365680213,0.00163288724169272,0,0,0,0.00277590831087762,0.000489866172507815,0.000653154896677087,0.000163288724169272,0,0.000653154896677087,0.00097973234501563,0.00212275341420053,0.0086543023809714,0.000163288724169272,0,0.0022860421383698,0,0,0.000326577448338543,1.20849984757678,0.000326577448338543,0.00130630979335417,0.000489866172507815,0,0,0,0.00146959851752345,0,0,0,0,0.000653154896677087,0,0,0.0800114748429431,0,0.00146959851752345,0,0.000163288724169272,0.000163288724169272,0.000163288724169272,0.310248575921616,2016-06-23 01:12:57
0,0.00041015994449367,0,0,0,0.00123047983348101,0.000205079972246835,0.00082031988898734,0.00307619958370252,0.00041015994449367,0,0,0,0,0.00041015994449367,0,0,0,0,0,0,0,0.000205079972246835,0,0,0,0,0,0.00041015994449367,0.00758795897313289,0,0.000205079972246835,0,0,0.000205079972246835,0,0.000205079972246835,0,0.00184571975022151,0,0.000615239916740505,0.000205079972246835,0.00041015994449367,0,0.00205079972246835,0,0,0.000205079972246835,0,0,0,0.00287111961145569,2016-06-28 22:49:32
0,9.98088160880224e-05,0,0,0,0.00419197027569694,9.98088160880224e-05,0.000998088160880224,0.000299426448264067,9.98088160880224e-05,0,9.98088160880224e-05,0,0,0.00139732342523231,0,0,0,0.000598852896528134,0.000299426448264067,0,0.000798470528704179,0.000499044080440112,0,0,9.98088160880224e-05,0,0,0,0.00249522040220056,0,0.00598852896528134,0.000199617632176045,0,0,0,0,0,0.00808451410312981,0,0.000399235264352089,9.98088160880224e-05,0,0,0.0026948380343766,0,0,0,0,0,0,0.0100806904248903,2016-06-30 22:42:02
0,0,0,0,0,0.00244010465415848,3.87318199072775e-05,0.000542245478701885,0.000116195459721832,7.7463639814555e-05,0,0,0,0,0.000658440938423717,0,0.00015492727962911,0,0.000116195459721832,0.000116195459721832,0,0.00015492727962911,0.00015492727962911,0,3.87318199072775e-05,0.000116195459721832,0,0,0,0.00127815005694016,0,0.00100702731758921,3.87318199072775e-05,0,7.7463639814555e-05,0,3.87318199072775e-05,0,0.00325347287221131,3.87318199072775e-05,7.7463639814555e-05,0,0,0,0.00139434551666199,0,0,0,0,0,0,0.0027499592134167,2016-07-01 00:04:00
0.000117859612915765,0.000942876903326123,0.000353578838747296,0.000117859612915765,0.000117859612915765,0.086862534718919,0.000589298064578827,0.00459652490371485,0.00176789419373648,0.0027107710970626,0.000353578838747296,0,0.000117859612915765,0.000471438451663061,0.0619941563936926,0.000117859612915765,0.00200361341956801,0.000235719225831531,0.000471438451663061,0.00506796335537791,0.000235719225831531,0.000589298064578827,0.0120216805174081,0,0.000117859612915765,0.000942876903326123,0,0,0.000235719225831531,1.85487458806831,0,0.0123752593561554,0.00412508645205179,0.000471438451663061,0.000471438451663061,0,0.00129645574207342,0,0.024632659099395,0.000117859612915765,0.00176789419373648,0.00789659406535628,0.000117859612915765,0.000235719225831531,0.0683585754911439,0,0,0,0.000117859612915765,0,0,0.317395937582156,2016-07-07 18:14:09
0.00112275308922395,0.00155654405551502,0.000153102693985084,2.55171156641806e-05,5.10342313283612e-05,0.00382756734962709,0.000765513469925418,0.000178619809649264,0.00239860887243298,0.00242412598809716,0.00132689001453739,0,2.55171156641806e-05,0,0.000816547701253779,7.65513469925418e-05,0.000204136925313445,0,0,0.000102068462656722,5.10342313283612e-05,5.10342313283612e-05,0.00834409682218706,0.000102068462656722,0,2.55171156641806e-05,0,0,2.55171156641806e-05,0.00283239983872405,0,0.000280688272305987,0.00155654405551502,0,0,0,0.00324067368935094,0,0.00043379096629107,0,2.55171156641806e-05,0.00377653311829873,2.55171156641806e-05,0,0.000459308081955251,7.65513469925418e-05,0,0.000153102693985084,0.000153102693985084,2.55171156641806e-05,0.000153102693985084,0.0144426874659262,2016-07-13 20:51:14
0.00110336778079288,0.00162827089981085,0.000235670788130517,5.35615427569357e-06,2.14246171027743e-05,0.00253881712667875,0.000862340838386665,0.000128547702616646,0.00102302546665747,0.000530259273293664,0.000755217752872794,5.35615427569357e-06,0,0,0.000546327736120744,5.35615427569357e-06,0.000423136187779792,5.35615427569357e-06,5.35615427569357e-06,0.000101766931238178,2.67807713784679e-05,4.28492342055486e-05,0.00734864366625158,2.67807713784679e-05,0,0,0,5.35615427569357e-06,8.56984684110972e-05,0.00223351633296422,0,0.000342793873644389,0.00261380328653846,5.35615427569357e-06,5.35615427569357e-06,5.35615427569357e-06,0.00251739250957598,0,0.000605245433153374,0,3.21369256541614e-05,0.00478840192247005,5.35615427569357e-06,5.35615427569357e-06,0.00029994463943884,7.498615985971e-05,2.14246171027743e-05,1.60684628270807e-05,0.000101766931238178,0,6.96300055840164e-05,0.0134278787691638,2016-07-14 00:14:57
