Date,Time,MeanBiovolume,MedianBiovolume,MaxBiovolume,MinBiovolume,StdBiovolume,NumRows
06/11/2018,190407,3489.99332728229,1821.90730427272,118543.981151247,0,7008.60652448968,3592
06/11/2018,192731,3549.40189956386,1848.60653685922,146355.720317025,0,7312.89142212964,3414
06/11/2018,195055,4179.07028410825,1883.45792358888,376878.753238835,4.67006003302342,12546.0349392873,3408
06/11/2018,221117,3493.45246327295,1817.23361606462,124707.844332673,3.60529571610019,6491.53268584111,3356
06/11/2018,223441,3498.45354092014,1804.48610526851,558997.702585988,0,11402.4852000514,3478
06/11/2018,225805,3930.6878107201,1779.13985215668,1639303.91810191,5.46042739927856,29603.7888161394,3248
06/11/2018,232128,3837.87323604317,1747.90960448102,1289936.98470762,5.21549720571051,23731.5338651222,3386
06/11/2018,234452,3339.25504543381,1710.52077528832,124120.834832089,4.73481278920896,6636.85325059447,3764
06/12/2018,000816,3088.73968385525,1682.60190468933,345686.12045928,0,7475.77514615471,3968
06/12/2018,003140,3024.89536484072,1676.32442971092,109763.9787634,5.07184147690901,5050.51066001436,3747
06/12/2018,005504,3068.03463853283,1632.77799370015,134579.802164304,5.5724565869024,6230.52275376485,3845
06/12/2018,011828,3295.67614078146,1591.70516384697,224796.601127877,5.3466213890159,8006.40534158819,3619
06/12/2018,014152,3120.92951900184,1563.93977137631,339139.346796728,5.71847869227252,9303.89584359841,3631
06/12/2018,020518,3314.86026082072,1591.03014860539,277259.703703704,0,8798.916609418,3900
06/12/2018,022842,3276.80839997163,1580.51920184931,672620.844891531,0,13459.3101632786,3775
06/12/2018,025205,2966.39602848962,1581.9533551796,154407.763958746,0,6387.56787985558,3541
06/12/2018,031529,3100.83234442295,1509.06737489204,219172.9411167,0,8586.43977592905,3801
06/12/2018,033853,3235.8317307577,1614.16354214297,371106.983335873,3.46828174465275,9890.32296554647,3667
06/12/2018,040217,3732.57108750756,1601.32280419651,518721.696387746,0,16360.3494911567,3626
06/12/2018,042541,3232.70804330738,1602.25076030077,337141.262714017,0,8667.5907511956,3456
06/12/2018,044904,3346.63058309388,1575.6511139054,427232.779200325,6.59783744347914,12347.6762648984,3340
06/12/2018,062237,3620.91980999789,1621.09990245389,303195.625666819,4.88217099984758,11133.5307256066,3281
06/13/2018,012828,4297.46268370012,1892.71527130011,259351.877254483,0,10764.1604593642,3298
06/13/2018,021516,3991.17346434429,1948.17476146929,453869.872631204,0,12265.8403424389,3442
06/13/2018,023841,4098.77325700588,1962.85032058121,510050.856068689,0,11740.5711935963,3625
06/13/2018,030205,3849.9869710597,1963.03653152467,186972.891784789,0,8261.02645681929,3847
06/13/2018,032530,4182.43798516959,2020.59236142864,863857.745262409,0,16725.4622643381,3612
06/13/2018,034855,4223.55185170266,1996.07231672001,459489.947213331,0,12812.5236036393,3885
06/13/2018,041220,3640.81661682782,1991.31400396281,174171.937712747,0,7106.89011767683,4085
06/13/2018,043546,4012.45581872982,2011.43316872428,617210.994259005,0,12759.8065261396,4177
06/13/2018,045911,3977.70211731386,1949.53623278972,225723.187522227,0,9864.69605404778,3891
06/13/2018,052236,4363.55698780243,1941.20573972463,1503620.78240106,0,26122.4292868088,3840
06/13/2018,054601,3775.54407243362,1946.91930295179,141705.41939745,3.78184082812579,7671.99276910971,3330
07/14/2018,002131,2620.47160127258,1537.770472997,249806.015089163,0,6904.28682912634,3418
07/14/2018,004455,3211.46313309511,1601.98002159224,710495.527104608,6.62293928771021,18325.4777147406,3686
07/14/2018,010818,3433.6430339394,1596.90909668242,561982.878626226,3.45507498043997,14885.144722771,3756
07/14/2018,013142,6075.3565662349,1605.47147817914,11490960.5090687,3.48138152669817,190087.904112174,3668
07/14/2018,015505,2702.50587257211,1538.40891073515,178671.697810293,5.44741715185693,6957.80418130841,3819
07/14/2018,021828,2539.01162757036,1524.68249860285,282437.201239648,0,8222.40918078056,3693
07/14/2018,024152,2930.22826896364,1565.58241833054,605684.980948026,6.40782974140121,13164.5280170675,3799
07/14/2018,030515,2710.7914985348,1573.77570314485,275110.45618046,6.02396921709089,8269.26833246369,3568
07/14/2018,032839,3451.03056752389,1486.25303510644,1990509.59254179,0,34495.4589837447,3852
07/14/2018,035203,2784.84237019624,1392.05155845146,525136.005690189,4.91021676726109,13385.3987496235,3602
07/14/2018,041526,2719.68027999133,1484.24466595539,463225.575369608,4.10822797744246,11597.8618214331,3666
07/14/2018,043849,2531.560785402,1355.74587943911,245431.438297007,7.58614307778286,9180.72898040964,3662
07/14/2018,050213,2603.18013202484,1406.93063252553,460845.171061322,6.50892280648275,10616.1341771212,3557
07/14/2018,052536,2526.6261974492,1304.30841157344,144047.833155515,0,7651.92636152186,3396
07/14/2018,203701,2281.4453961938,1452.10675506782,142181.311283849,7.40853828176599,5805.58335345504,3317
07/14/2018,210026,2567.76433867636,1476.33169562567,473972.655337093,6.57827846872936,11389.4601559177,3668
07/14/2018,212349,2877.88144055767,1464.47648681603,1133429.66468526,5.32289402530102,20512.4540732194,3399
07/14/2018,214713,2697.64827021225,1418.84813747904,539727.489203881,5.46042739927856,11692.3163877141,3369
07/14/2018,221036,3331.99250345772,1417.65106691053,821223.227658385,5.39019456383681,19580.4675077553,3331
07/14/2018,223359,3118.01859212653,1401.65687090383,853007.639079408,4.60951637047198,18515.5699924564,3353
