datetime,GroupCount,mean_BiovolumeMean,mean_BiovolumeSum,mean_BiovolumeStd,mean_BiovolumeMin,mean_BiovolumeMax,mean_EquivDiameterMean,mean_EquivDiameterSum,mean_EquivDiameterStd,mean_EquivDiameterMin,mean_EquivDiameterMax,mean_GroupCount,median_BiovolumeMean,median_BiovolumeSum,median_BiovolumeStd,median_BiovolumeMin,median_BiovolumeMax,median_EquivDiameterMean,median_EquivDiameterSum,median_EquivDiameterStd,median_EquivDiameterMin,median_EquivDiameterMax,median_GroupCount
28-Dec-2022,59,171156.013997614,9225746.70276213,523669.844837198,1246.41698527949,3410615.07835254,48.50087270089,3425.22687837046,34.3498785646222,9.42808003405085,179.044970954746,85.271186440678,86074.3797670625,3025297.00293334,201487.2304327,170.506485,947054.8125,47.134049096,1266.99727213,30.912093166051,8.519075892,152.2057605,23
29-Dec-2022,60,229082.735695132,5025239.57832578,498932.316115249,6804.86359865667,2003808.16915517,60.4896415536131,1317.90587728658,36.053887524213,22.1142368590333,151.464253221,22.1333333333333,128362.594373327,1993551.0261741,183371.234374532,4541.5888675,589835.7797,58.5616445728318,897.265706525,30.7188015912297,25.504966045,128.56277145,16
30-Dec-2022,60,143057.169251112,7182491.47537827,305745.427820519,2774.02175128833,1734307.13566377,55.8469822022352,3180.0138211408,30.8177675994011,14.7054071188333,160.571323693,58.25,116714.922032681,5676406.73203995,207320.233378667,376.8840304,1222381.977,54.640774172669,2809.0539681365,29.2943312815239,10.968753695,157.5493232,51
31-Dec-2022,60,139830.67341313,16572998.3294608,361981.687797599,199.47621835,3035278.217715,54.9613798677356,5992.72887833658,32.8758903681183,7.06205875965,199.769581868333,107.116666666667,120835.598934432,11835935.5075607,275891.262688481,156.5291214,1928478.7585,54.7063540745192,5179.390275881,32.0343759327223,8.1757911115,178.67950245,88.5
01-Jan-2023,60,167592.7985162,18283499.1167422,607479.360390604,176.8494814465,5627706.271405,54.7214488614278,5849.62794107288,37.5095929381428,7.83881609905,231.174096432333,106.416666666667,128376.451218145,15648774.7370786,283863.024284535,162.1514435,2171357.1845,54.2860710399853,5821.8668088245,35.6178832445109,8.097548476,203.6453706,102.5
02-Jan-2023,60,188587.459626277,13035729.4772955,715964.269284255,199.331046863333,5578671.13722,54.3197937813378,3622.64051944895,38.7119541903213,7.89768895385,230.008852378833,66.3166666666667,147343.883083212,9888312.9808802,331728.498474211,188.5856247,2472313.466,53.6629056181884,3733.820698245,38.0763807801551,8.443679882,215.09674445,67
03-Jan-2023,60,205932.620483455,15616627.5446754,723780.605784998,371.44457793,5219220.86229667,56.2369849194014,4537.11515477892,39.0125421727202,8.95716736316667,220.424245222667,85.9666666666667,146727.801261288,10064377.5524302,311571.000856339,196.6256404,2072418.171,55.6878533443551,3463.462662823,38.0761583081869,8.884577503,201.7926405,61
22-Apr-2023,33,236525.855889772,92718184.1838971,559369.76823262,26.2280769324242,7635685.92966667,81.4331968419894,31799.1839329616,49.2140260685844,2.16360746178788,320.038084342424,390,235450.196878454,90358979.4722236,460761.571897768,0,5514571.5,82.2844371593312,30836.89747071,48.6815388268488,0,304.7898135,399
23-Apr-2023,51,111584.533022375,41922846.0377056,380204.442034249,307.747293313922,5511027.81094118,53.1298756477996,19917.631909587,32.7656491566984,4.79503891617647,260.330474105882,375.745098039216,105417.944979886,41572767.1394714,246955.210419878,60.61425781,2431030.892,53.5762770285243,20263.58661888,32.600151299711,7.225151994,258.7976425,374
24-Apr-2023,60,119717.003931911,41078785.452271,360214.295549835,53.6946946361667,4528821.9762,54.0502047324529,18993.9680385799,35.0799978498943,3.30634524673333,263.8467005,355.016666666667,108048.827924319,39548251.9407394,252554.988850757,0,2508005.845,54.3401720121483,19760.932645079,35.7829308702979,0,260.53088645,365.5
