Period,Mean,Max,Min,Median,Std,CI95
35,4.144645125,10.39335,1.036829,3.8402405,2.04571070388758,0.818454739692814
36,3.63858754166667,8.66915,1.251321,3.229434,1.72258738321994,0.689178487286677
37,3.04946130416667,8.524413,0.7464973,2.944335,1.61662732362068,0.646785634361608
38,2.5603666875,5.074065,0.7869977,2.5327765,1.06192617268721,0.42485895370642
39,2.73852107083333,5.867113,0.8548431,2.3816145,1.45621964590718,0.582609197361868
40,2.87769895833333,6.647183,1.135125,2.91071,1.29277579603057,0.517218038508889
41,3.02569547916667,6.642577,0.9777925,2.780524,1.53416734522149,0.613794772052712
42,2.7146859125,7.573316,0.8453259,2.122173,1.84013883207892,0.736208861764141
43,2.79259465833333,5.762878,0.8355609,2.4103065,1.43462149546032,0.573968137524698
44,2.62468620416667,6.398497,0.3326017,2.390582,1.55138056405124,0.620681493870125
45,3.3729268625,6.314925,0.3326017,3.247391,1.69151971881837,0.676748832823643
46,3.2050103875,6.745984,0.8749645,2.9169305,1.71110672112218,0.684585265825367
47,2.9125886375,6.896008,0.7381833,2.2902695,1.67938374794747,0.671893433249704
48,2.95300998333333,11.95632,0.8912846,2.4041965,2.15113702425083,0.860634052449843
49,3.03016425,6.329208,0.996287,2.7096675,1.45698146883516,0.582913990011693
50,3.56888997916667,7.881316,0.9901165,3.441712,1.66867391231732,0.667608606604289
51,3.22942604166667,6.524539,1.194085,2.850472,1.40749236771481,0.563114225901295
52,3.15728311666667,6.15823,0.3975645,2.9002,1.67851242934613,0.671544833206845
53,3.58199843333333,8.732744,0.9029884,2.9669315,2.0897312077776,0.836066609242106
54,3.243901925,6.485053,0.9104452,3.207505,1.56555419160296,0.626352125903437
55,3.13878415833333,7.42874,0.8695938,2.96996,1.68691525855125,0.674906665051733
56,3.21737889583333,7.063667,0.8891001,2.778036,1.8212985222276,0.728671167961303
57,3.38467294583333,9.252008,0.7648207,3.096169,1.94550968533415,0.778365983056182
58,3.17103218333333,9.616241,0.6147227,2.596724,2.05802416908332,0.823381151786348
59,3.23361317916667,6.481315,0.6770741,3.088698,1.73125675716445,0.692646959237071
60,3.14140833333333,6.799574,0.717911,2.834243,1.65176061921106,0.660841880067477
61,3.0296421625,7.168323,0.8589125,2.820834,1.68792319638515,0.675309924171368
62,2.84383410833333,6.834542,0.668093,2.601241,1.43600537427475,0.574521804361695
63,2.66111272083333,8.219876,0.7683448,2.523082,1.54274793801186,0.617227724143793
64,2.73222085,9.345075,0.7908204,2.04833,1.86989440614559,0.748113570763739
65,2.73067652083333,11.48775,0.7034364,2.1826925,2.3000819160911,0.920224419967618
66,2.3161741875,5.927734,0.8129007,2.052096,1.32896823728867,0.531698030734797
67,1.91847189583333,5.243763,0.6355468,1.7850765,1.12496425981689,0.450079441185128
68,1.80991370416667,6.240818,0.5391763,1.337662,1.26608079955849,0.506537815568695
69,1.7773053875,4.770657,0.6408835,1.238964,1.1666431296694,0.466754462003565
70,1.5970642125,4.406047,0.7125306,1.207657,0.995547070235959,0.398301781710135
71,1.33037401666667,4.741676,0.6433204,1.00549675,0.860696219070651,0.344350204843418
72,1.25424525,3.91436,0.6308968,0.9455025,0.763731691863961,0.305556314425005
73,1.10039656333333,4.933776,0.01035142,0.8827104,0.91409437030697,0.365713914720453
